COMMON NAME,OBSERVATION COUNT,OBSERVATION DATE
American Redstart,1,2018-05-31
American Robin,15,2018-05-31
Baltimore Oriole,2,2018-05-31
Barn Swallow,4,2018-05-31
Cedar Waxwing,10,2018-05-31
Chimney Swift,12,2018-05-31
Common Grackle,1,2018-05-31
Double-crested Cormorant,1,2018-05-31
Downy Woodpecker,1,2018-05-31
European Starling,15,2018-05-31
Green Heron,2,2018-05-31
Gray Catbird,6,2018-05-31
Northern House Wren,1,2018-05-31
Mallard,2,2018-05-31
Northern Cardinal,4,2018-05-31
Northern Flicker,1,2018-05-31
Northern Rough-winged Swallow,10,2018-05-31
Red-winged Blackbird,8,2018-05-31
Rock Pigeon,3,2018-05-31
Warbling Vireo,5,2018-05-31
Yellow Warbler,2,2018-05-31
American Robin,25,2018-06-16
Baltimore Oriole,1,2018-06-25
Blue Jay,1,2018-06-16
Blue-gray Gnatcatcher,2,2018-06-16
Cedar Waxwing,2,2018-06-16
Chimney Swift,2,2018-06-25
Chimney Swift,15,2018-06-16
Common Grackle,2,2018-06-16
Double-crested Cormorant,1,2018-06-27
Double-crested Cormorant,3,2018-06-16
Downy Woodpecker,1,2018-06-16
European Starling,3,2018-06-27
European Starling,10,2018-06-16
Great Blue Heron,1,2018-06-16
Green Heron,1,2018-06-27
Green Heron,1,2018-06-25
Green Heron,2,2018-06-16
Gray Catbird,16,2018-06-16
House Sparrow,1,2018-06-16
House Sparrow,5,2018-06-27
Mallard,2,2018-06-16
Mourning Dove,2,2018-06-16
Northern Cardinal,1,2018-06-16
Northern Mockingbird,2,2018-06-25
Northern Rough-winged Swallow,8,2018-06-16
Red-tailed Hawk,1,2018-06-16
Red-winged Blackbird,10,2018-06-16
Rock Pigeon,3,2018-06-16
Rock Pigeon,6,2018-06-25
Turkey Vulture,1,2018-06-16
Warbling Vireo,2,2018-06-16
Yellow Warbler,2,2018-06-16
American Goldfinch,2,2018-07-10
American Goldfinch,2,2018-07-10
American Goldfinch,2,2018-07-10
American Goldfinch,2,2018-07-10
American Goldfinch,2,2018-07-23
American Goldfinch,2,2018-07-10
American Robin,4,2018-07-10
American Robin,4,2018-07-10
American Robin,4,2018-07-10
American Robin,10,2018-07-23
American Robin,4,2018-07-10
American Robin,4,2018-07-10
Bald Eagle,1,2018-07-23
Barn Swallow,12,2018-07-10
Barn Swallow,12,2018-07-10
Barn Swallow,12,2018-07-10
Barn Swallow,2,2018-07-23
Barn Swallow,12,2018-07-10
Barn Swallow,12,2018-07-10
Blue Jay,2,2018-07-10
Blue Jay,2,2018-07-10
Blue Jay,2,2018-07-10
Blue Jay,2,2018-07-10
Blue Jay,2,2018-07-10
Carolina Wren,1,2018-07-23
Cedar Waxwing,4,2018-07-10
Cedar Waxwing,4,2018-07-10
Cedar Waxwing,4,2018-07-10
Cedar Waxwing,4,2018-07-10
Cedar Waxwing,4,2018-07-10
Chimney Swift,6,2018-07-23
Chimney Swift,27,2018-07-10
Chimney Swift,27,2018-07-10
Chimney Swift,27,2018-07-10
Chimney Swift,27,2018-07-10
Chimney Swift,27,2018-07-10
Common Grackle,27,2018-07-10
Common Grackle,27,2018-07-10
Common Grackle,27,2018-07-10
Common Grackle,27,2018-07-10
Common Grackle,27,2018-07-10
Common Grackle,2,2018-07-23
Common Nighthawk,4,2018-07-10
Common Nighthawk,4,2018-07-10
Common Nighthawk,4,2018-07-10
Common Nighthawk,4,2018-07-10
Common Nighthawk,4,2018-07-10
Common Yellowthroat,1,2018-07-23
Double-crested Cormorant,2,2018-07-10
Double-crested Cormorant,2,2018-07-10
Double-crested Cormorant,2,2018-07-10
Double-crested Cormorant,2,2018-07-10
Double-crested Cormorant,2,2018-07-10
Downy Woodpecker,1,2018-07-10
Downy Woodpecker,1,2018-07-10
Downy Woodpecker,1,2018-07-10
Downy Woodpecker,1,2018-07-10
Downy Woodpecker,1,2018-07-10
European Starling,3,2018-07-10
European Starling,3,2018-07-10
European Starling,3,2018-07-10
European Starling,10,2018-07-23
European Starling,3,2018-07-10
European Starling,3,2018-07-10
Great Crested Flycatcher,1,2018-07-10
Great Crested Flycatcher,1,2018-07-10
Great Crested Flycatcher,1,2018-07-10
Great Crested Flycatcher,1,2018-07-10
Great Crested Flycatcher,1,2018-07-10
Green Heron,3,2018-07-10
Green Heron,3,2018-07-10
Green Heron,3,2018-07-10
Green Heron,3,2018-07-10
Green Heron,3,2018-07-10
Green Heron,2,2018-07-23
Gray Catbird,2,2018-07-10
Gray Catbird,2,2018-07-10
Gray Catbird,5,2018-07-23
Gray Catbird,2,2018-07-10
Gray Catbird,2,2018-07-10
Gray Catbird,2,2018-07-10
House Finch,1,2018-07-23
House Sparrow,5,2018-07-10
House Sparrow,5,2018-07-10
House Sparrow,5,2018-07-10
House Sparrow,5,2018-07-10
House Sparrow,5,2018-07-10
Mourning Dove,4,2018-07-10
Mourning Dove,4,2018-07-10
Mourning Dove,4,2018-07-10
Mourning Dove,4,2018-07-10
Mourning Dove,2,2018-07-23
Mourning Dove,4,2018-07-10
Northern Cardinal,1,2018-07-10
Northern Cardinal,1,2018-07-10
Northern Cardinal,1,2018-07-10
Northern Cardinal,1,2018-07-10
Northern Cardinal,1,2018-07-10
Northern Flicker,2,2018-07-10
Northern Flicker,2,2018-07-10
Northern Flicker,2,2018-07-10
Northern Flicker,2,2018-07-10
Northern Flicker,2,2018-07-10
Osprey,1,2018-07-23
Red-eyed Vireo,1,2018-07-23
Red-tailed Hawk,1,2018-07-23
Red-winged Blackbird,5,2018-07-10
Red-winged Blackbird,5,2018-07-10
Red-winged Blackbird,5,2018-07-10
Red-winged Blackbird,5,2018-07-10
Red-winged Blackbird,6,2018-07-23
Red-winged Blackbird,5,2018-07-10
Rock Pigeon,1,2018-07-10
Rock Pigeon,1,2018-07-10
Rock Pigeon,1,2018-07-10
Rock Pigeon,1,2018-07-10
Rock Pigeon,1,2018-07-10
Rock Pigeon,7,2018-07-23
Song Sparrow,2,2018-07-23
Tree Swallow,3,2018-07-10
Tree Swallow,3,2018-07-10
Tree Swallow,3,2018-07-10
Tree Swallow,3,2018-07-10
Tree Swallow,3,2018-07-10
Tufted Titmouse,1,2018-07-10
Tufted Titmouse,1,2018-07-10
Tufted Titmouse,1,2018-07-10
Tufted Titmouse,1,2018-07-10
Tufted Titmouse,1,2018-07-10
Wood Duck,1,2018-07-10
Wood Duck,1,2018-07-10
Wood Duck,7,2018-07-23
Wood Duck,1,2018-07-10
Wood Duck,1,2018-07-10
Wood Duck,1,2018-07-10
American Crow,1,2018-08-06
American Robin,1,2018-08-22
American Robin,5,2018-08-04
American Robin,6,2018-08-06
Barn Swallow,2,2018-08-04
Belted Kingfisher,1,2018-08-22
Blue Jay,4,2018-08-04
Chimney Swift,10,2018-08-04
Chimney Swift,6,2018-08-06
Common Nighthawk,1,2018-08-07
Double-crested Cormorant,2,2018-08-04
Double-crested Cormorant,2,2018-08-06
Eastern Kingbird,2,2018-08-06
European Starling,8,2018-08-04
European Starling,5,2018-08-06
Great Blue Heron,1,2018-08-04
Green Heron,2,2018-08-04
Gray Catbird,3,2018-08-04
Gray Catbird,2,2018-08-06
House Finch,1,2018-08-06
Mallard,5,2018-08-04
Mourning Dove,2,2018-08-04
Mourning Dove,1,2018-08-06
Northern Cardinal,1,2018-08-04
Osprey,1,2018-08-04
Ring-billed Gull,1,2018-08-04
Sharp-shinned Hawk,1,2018-08-06
Turkey Vulture,1,2018-08-04
Wood Duck,1,2018-08-04
American Black Duck,1,2018-09-29
American Crow,1,2018-09-30
American Crow,2,2018-09-29
American Crow,5,2018-09-30
American Goldfinch,3,2018-09-30
American Goldfinch,2,2018-09-29
American Goldfinch,2,2018-09-29
American Goldfinch,1,2018-09-29
American Goldfinch,2,2018-09-30
American Robin,1,2018-09-29
American Robin,1,2018-09-29
American Robin,2,2018-09-29
American Robin,1,2018-09-29
American Herring Gull,1,2018-09-29
American Herring Gull,1,2018-09-29
Bald Eagle,1,2018-09-29
Bald Eagle,1,2018-09-29
Bald Eagle,1,2018-09-29
Black-and-white Warbler,1,2018-09-30
Black-and-white Warbler,1,2018-09-30
Belted Kingfisher,1,2018-09-30
Belted Kingfisher,1,2018-09-29
Belted Kingfisher,1,2018-09-30
Black Vulture,1,2018-09-29
Black Vulture,2,2018-09-29
Black Vulture,4,2018-09-29
Blue Jay,2,2018-09-30
Blue Jay,38,2018-09-29
Blue Jay,2,2018-09-29
Blue Jay,8,2018-09-29
Blue Jay,3,2018-09-30
Brown Creeper,1,2018-09-30
Brown Creeper,1,2018-09-30
Broad-winged Hawk,3,2018-09-29
Broad-winged Hawk,1,2018-09-30
Buteo sp.,4,2018-09-29
Buteo sp.,3,2018-09-29
Canada Goose,1,2018-09-29
Canada Goose,1,2018-09-29
Canada Goose,3,2018-09-30
Canada Goose,2,2018-09-29
Canada Goose,3,2018-09-30
Canada Goose,2,2018-09-29
Carolina Chickadee,2,2018-09-30
Carolina Chickadee,3,2018-09-30
Carolina Wren,1,2018-09-29
Carolina Wren,3,2018-09-30
Carolina Wren,1,2018-09-30
Carolina Wren,1,2018-09-29
Carolina Wren,1,2018-09-29
Carolina Wren,1,2018-09-29
Chimney Swift,2,2018-09-29
Chimney Swift,4,2018-09-29
Chimney Swift,1,2018-09-30
Chimney Swift,4,2018-09-29
Chimney Swift,2,2018-09-30
Chimney Swift,14,2018-09-29
Common Yellowthroat,1,2018-09-29
Common Yellowthroat,1,2018-09-29
Cooper's Hawk,1,2018-09-29
Cooper's Hawk,1,2018-09-29
Double-crested Cormorant,5,2018-09-30
Double-crested Cormorant,5,2018-09-30
Double-crested Cormorant,4,2018-09-29
Double-crested Cormorant,5,2018-09-29
Double-crested Cormorant,4,2018-09-29
Double-crested Cormorant,5,2018-09-29
Double-crested Cormorant,4,2018-09-29
Downy Woodpecker,1,2018-09-29
Downy Woodpecker,1,2018-09-29
Downy Woodpecker,1,2018-09-29
Eastern Kingbird,1,2018-09-30
Eastern Phoebe,2,2018-09-30
Eastern Phoebe,1,2018-09-30
Eastern Wood-Pewee,1,2018-09-30
European Starling,2,2018-09-29
European Starling,7,2018-09-29
European Starling,1,2018-09-29
Gray Catbird,2,2018-09-29
Gray Catbird,4,2018-09-30
Gray Catbird,5,2018-09-29
Gray Catbird,6,2018-09-29
Gray Catbird,1,2018-09-30
Gray Catbird,2,2018-09-29
House Sparrow,40,2018-09-30
Northern House Wren,1,2018-09-29
Northern House Wren,1,2018-09-29
gull sp.,1,2018-09-29
Mallard,1,2018-09-29
Mallard,2,2018-09-29
Mourning Dove,1,2018-09-29
Mourning Dove,4,2018-09-30
Mourning Dove,2,2018-09-29
Mourning Dove,4,2018-09-30
