,COMMON NAME,species_family
0,Snow Goose,"Geese, Ducks"
1,Canada Goose,"Geese, Ducks"
2,Cackling Goose,"Geese, Ducks"
3,Wood Duck,"Geese, Ducks"
4,Northern Shoveler,"Geese, Ducks"
5,Gadwall,"Geese, Ducks"
6,American Wigeon,"Geese, Ducks"
7,Mallard,"Geese, Ducks"
8,American Black Duck,"Geese, Ducks"
9,Canvasback,"Geese, Ducks"
10,Redhead,"Geese, Ducks"
11,Ring-necked Duck,"Geese, Ducks"
12,Greater Scaup,"Geese, Ducks"
13,Lesser Scaup,"Geese, Ducks"
14,Long-tailed Duck,"Geese, Ducks"
15,Bufflehead,"Geese, Ducks"
16,Common Goldeneye,"Geese, Ducks"
17,Hooded Merganser,"Geese, Ducks"
18,Common Merganser,"Geese, Ducks"
19,Red-breasted Merganser,"Geese, Ducks"
20,Ruddy Duck,"Geese, Ducks"
21,Pied-billed Grebe,Grebes
22,Horned Grebe,Grebes
23,Red-necked Grebe,Grebes
24,Rock Pigeon,"Doves, Cuckoos"
25,Mourning Dove,"Doves, Cuckoos"
26,Yellow-billed Cuckoo,"Doves, Cuckoos"
27,Black-billed Cuckoo,"Doves, Cuckoos"
28,Common Nighthawk,"Nightjars, Swifts, Hummingbirds"
29,Eastern Whip-poor-will,"Nightjars, Swifts, Hummingbirds"
30,Chimney Swift,"Nightjars, Swifts, Hummingbirds"
31,Ruby-throated Hummingbird,"Nightjars, Swifts, Hummingbirds"
32,King Rail,"Rails, Gallinules, Coots"
33,Virginia Rail,"Rails, Gallinules, Coots"
34,Sora,"Rails, Gallinules, Coots"
35,Common Gallinule,"Rails, Gallinules, Coots"
36,American Coot,"Rails, Gallinules, Coots"
37,Killdeer,"Plovers, Sandpipers"
38,American Woodcock,"Plovers, Sandpipers"
39,Laughing Gull,Gulls
40,Ring-billed Gull,Gulls
41,Herring Gull,Gulls
42,Great Black-backed Gull,Gulls
43,Red-throated Loon,Loons
44,Common Loon,Loons
45,Double-crested Cormorant,Cormorants
46,Great Blue Heron,Herons
47,Green Heron,Herons
48,Black-crowned Night-Heron,Herons
49,Black Vulture,"Vultures, Hawks"
50,Turkey Vulture,"Vultures, Hawks"
51,Osprey,"Vultures, Hawks"
52,Northern Harrier,"Vultures, Hawks"
53,Sharp-shinned Hawk,"Vultures, Hawks"
54,Cooper’s Hawk,"Vultures, Hawks"
55,Northern Goshawk,"Vultures, Hawks"
56,Bald Eagle,"Vultures, Hawks"
57,Red-shouldered Hawk,"Vultures, Hawks"
58,Broad-winged Hawk,"Vultures, Hawks"
59,Red-tailed Hawk,"Vultures, Hawks"
60,Eastern Screech-owl,"Owls, KingFishers"
61,Great Horned owl,"Owls, KingFishers"
62,Long-eared owl,"Owls, KingFishers"
63,Northern Saw-whet owl,"Owls, KingFishers"
64,Belted Kingfisher,"Owls, KingFishers"
65,Red-headed Woodpecker,Woodpeckers
66,Red-bellied Woodpecker,Woodpeckers
67,Yellow-bellied Sapsucker,Woodpeckers
68,Downy Woodpecker,Woodpeckers
69,Hairy Woodpecker,Woodpeckers
70,Northern Flicker,Woodpeckers
71,American Kestrel,Falcons
72,Merlin,Falcons
73,Peregrine Falcon,Falcons
74,Great Crested Flycatcher,Flycatchers
75,Easter Kingbird,Flycatchers
76,Olive-sided Flycatcher,Flycatchers
77,Eastern Wood-Pewee,Flycatchers
78,Yellow-bellied Flycatcher,Flycatchers
79,Acadian Flycatcher,Flycatchers
80,Alder Flycatcher,Flycatchers
81,Willow Flycatcher,Flycatchers
82,Least Flycatcher,Flycatchers
83,Easter Phoebe,Flycatchers
84,White-eyed Vireo,Vireos
85,Yellow-throated Vireo,Vireos
86,Blue-headed Vireo,Vireos
87,Philadelphia Vireo,Vireos
88,Warbling Vireo,Vireos
89,Red-eyed Vireo,Vireos
90,Blue Jay,"Jays, Crows"
91,American Crow,"Jays, Crows"
92,Fish Crow,"Jays, Crows"
93,Common Raven,"Jays, Crows"
94,Bank Swallow,Swallows
95,Tree Swallow,Swallows
96,Northern Rough-winged Swallow,Swallows
97,Purple Martin,Swallows
98,Barn Swallow,Swallows
99,Cliff Swallow,Swallows
100,Carolina Chickadee,"Chickadees, Nuthatches, Creepers"
101,Black-capped Chickadee,"Chickadees, Nuthatches, Creepers"
